"index","shortname","name","unicode","unicode_encoded","aliases","image"
"399",":handball_tone1:","handball tone 1","1f93e-1f3fb","🤾 🏻","","!https://cdn.jsdelivr.net/emojione/assets/png/1f93e-1f3fb.png?v=2.2.7!"
"400",":handball_tone2:","handball tone 2","1f93e-1f3fc","🤾 🏼","","!https://cdn.jsdelivr.net/emojione/assets/png/1f93e-1f3fc.png?v=2.2.7!"
"401",":handball_tone3:","handball tone 3","1f93e-1f3fd","🤾 🏽","","!https://cdn.jsdelivr.net/emojione/assets/png/1f93e-1f3fd.png?v=2.2.7!"
"402",":handball_tone4:","handball tone 4","1f93e-1f3fe","🤾 🏾","","!https://cdn.jsdelivr.net/emojione/assets/png/1f93e-1f3fe.png?v=2.2.7!"
"403",":handball_tone5:","handball tone 5","1f93e-1f3ff","🤾 🏿","","!https://cdn.jsdelivr.net/emojione/assets/png/1f93e-1f3ff.png?v=2.2.7!"
"404",":juggling:","juggling","1f939","🤹",":juggler:","!https://cdn.jsdelivr.net/emojione/assets/png/1f939.png?v=2.2.7!"
"405",":juggling_tone1:","juggling tone 1","1f939-1f3fb","🤹 🏻",":juggler_tone1:","!https://cdn.jsdelivr.net/emojione/assets/png/1f939-1f3fb.png?v=2.2.7!"
"406",":juggling_tone2:","juggling tone 2","1f939-1f3fc","🤹 🏼",":juggler_tone2:","!https://cdn.jsdelivr.net/emojione/assets/png/1f939-1f3fc.png?v=2.2.7!"
"407",":juggling_tone3:","juggling tone 3","1f939-1f3fd","🤹 🏽",":juggler_tone3:","!https://cdn.jsdelivr.net/emojione/assets/png/1f939-1f3fd.png?v=2.2.7!"
"408",":juggling_tone4:","juggling tone 4","1f939-1f3fe","🤹 🏾",":juggler_tone4:","!https://cdn.jsdelivr.net/emojione/assets/png/1f939-1f3fe.png?v=2.2.7!"
"409",":juggling_tone5:","juggling tone 5","1f939-1f3ff","🤹 🏿",":juggler_tone5:","!https://cdn.jsdelivr.net/emojione/assets/png/1f939-1f3ff.png?v=2.2.7!"
"410",":couple:","man and woman holding hands","1f46b","👫","","!https://cdn.jsdelivr.net/emojione/assets/png/1f46b.png?v=2.2.7!"
"411",":two_men_holding_hands:","two men holding hands","1f46c","👬","","!https://cdn.jsdelivr.net/emojione/assets/png/1f46c.png?v=2.2.7!"
"412",":two_women_holding_hands:","two women holding hands","1f46d","👭","","!https://cdn.jsdelivr.net/emojione/assets/png/1f46d.png?v=2.2.7!"
"413",":couplekiss:","kiss","1f48f","💏","","!https://cdn.jsdelivr.net/emojione/assets/png/1f48f.png?v=2.2.7!"
"414",":kiss_mm:","kiss (man,man)","1f468-2764-1f48b-1f468","👨 ❤ 💋 👨",":couplekiss_mm:","!https://cdn.jsdelivr.net/emojione/assets/png/1f468-2764-1f48b-1f468.png?v=2.2.7!"
"415",":kiss_ww:","kiss (woman,woman)","1f469-2764-1f48b-1f469","👩 ❤ 💋 👩",":couplekiss_ww:","!https://cdn.jsdelivr.net/emojione/assets/png/1f469-2764-1f48b-1f469.png?v=2.2.7!"
"416",":couple_with_heart:","couple with heart","1f491","💑","","!https://cdn.jsdelivr.net/emojione/assets/png/1f491.png?v=2.2.7!"
"417",":couple_mm:","couple (man,man)","1f468-2764-1f468","👨 ❤ 👨",":couple_with_heart_mm:","!https://cdn.jsdelivr.net/emojione/assets/png/1f468-2764-1f468.png?v=2.2.7!"
"418",":couple_ww:","couple (woman,woman)","1f469-2764-1f469","👩 ❤ 👩",":couple_with_heart_ww:","!https://cdn.jsdelivr.net/emojione/assets/png/1f469-2764-1f469.png?v=2.2.7!"
"419",":family:","family","1f46a","👪","","!https://cdn.jsdelivr.net/emojione/assets/png/1f46a.png?v=2.2.7!"
"420",":family_mwg:","family (man,woman,girl)","1f468-1f469-1f467","👨 👩 👧","","!https://cdn.jsdelivr.net/emojione/assets/png/1f468-1f469-1f467.png?v=2.2.7!"
"421",":family_mwgb:","family (man,woman,girl,boy)","1f468-1f469-1f467-1f466","👨 👩 👧 👦","","!https://cdn.jsdelivr.net/emojione/assets/png/1f468-1f469-1f467-1f466.png?v=2.2.7!"
"422",":family_mwbb:","family (man,woman,boy,boy)","1f468-1f469-1f466-1f466","👨 👩 👦 👦","","!https://cdn.jsdelivr.net/emojione/assets/png/1f468-1f469-1f466-1f466.png?v=2.2.7!"
"423",":family_mwgg:","family (man,woman,girl,girl)","1f468-1f469-1f467-1f467","👨 👩 👧 👧","","!https://cdn.jsdelivr.net/emojione/assets/png/1f468-1f469-1f467-1f467.png?v=2.2.7!"
"424",":family_mmb:","family (man,man,boy)","1f468-1f468-1f466","👨 👨 👦","","!https://cdn.jsdelivr.net/emojione/assets/png/1f468-1f468-1f466.png?v=2.2.7!"
"425",":family_mmg:","family (man,man,girl)","1f468-1f468-1f467","👨 👨 👧","","!https://cdn.jsdelivr.net/emojione/assets/png/1f468-1f468-1f467.png?v=2.2.7!"
"426",":family_mmgb:","family (man,man,girl,boy)","1f468-1f468-1f467-1f466","👨 👨 👧 👦","","!https://cdn.jsdelivr.net/emojione/assets/png/1f468-1f468-1f467-1f466.png?v=2.2.7!"
"427",":family_mmbb:","family (man,man,boy,boy)","1f468-1f468-1f466-1f466","👨 👨 👦 👦","","!https://cdn.jsdelivr.net/emojione/assets/png/1f468-1f468-1f466-1f466.png?v=2.2.7!"
"428",":family_mmgg:","family (man,man,girl,girl)","1f468-1f468-1f467-1f467","👨 👨 👧 👧","","!https://cdn.jsdelivr.net/emojione/assets/png/1f468-1f468-1f467-1f467.png?v=2.2.7!"
"429",":family_wwb:","family (woman,woman,boy)","1f469-1f469-1f466","👩 👩 👦","","!https://cdn.jsdelivr.net/emojione/assets/png/1f469-1f469-1f466.png?v=2.2.7!"
"430",":family_wwg:","family (woman,woman,girl)","1f469-1f469-1f467","👩 👩 👧","","!https://cdn.jsdelivr.net/emojione/assets/png/1f469-1f469-1f467.png?v=2.2.7!"
"431",":family_wwgb:","family (woman,woman,girl,boy)","1f469-1f469-1f467-1f466","👩 👩 👧 👦","","!https://cdn.jsdelivr.net/emojione/assets/png/1f469-1f469-1f467-1f466.png?v=2.2.7!"
"432",":family_wwbb:","family (woman,woman,boy,boy)","1f469-1f469-1f466-1f466","👩 👩 👦 👦","","!https://cdn.jsdelivr.net/emojione/assets/png/1f469-1f469-1f466-1f466.png?v=2.2.7!"
"433",":family_wwgg:","family (woman,woman,girl,girl)","1f469-1f469-1f467-1f467","👩 👩 👧 👧","","!https://cdn.jsdelivr.net/emojione/assets/png/1f469-1f469-1f467-1f467.png?v=2.2.7!"
"434",":tone1:","emoji modifier Fitzpatrick type-1-2","1f3fb","🏻","","!https://cdn.jsdelivr.net/emojione/assets/png/1f3fb.png?v=2.2.7!"
"435",":tone2:","emoji modifier Fitzpatrick type-3","1f3fc","🏼","","!https://cdn.jsdelivr.net/emojione/assets/png/1f3fc.png?v=2.2.7!"
"436",":tone3:","emoji modifier Fitzpatrick type-4","1f3fd","🏽","","!https://cdn.jsdelivr.net/emojione/assets/png/1f3fd.png?v=2.2.7!"
"437",":tone4:","emoji modifier Fitzpatrick type-5","1f3fe","🏾","","!https://cdn.jsdelivr.net/emojione/assets/png/1f3fe.png?v=2.2.7!"
"438",":tone5:","emoji modifier Fitzpatrick type-6","1f3ff","🏿","","!https://cdn.jsdelivr.net/emojione/assets/png/1f3ff.png?v=2.2.7!"
"439",":muscle:","flexed biceps","1f4aa","💪","","!https://cdn.jsdelivr.net/emojione/assets/png/1f4aa.png?v=2.2.7!"
"440",":muscle_tone1:","flexed biceps tone 1","1f4aa-1f3fb","💪 🏻","","!https://cdn.jsdelivr.net/emojione/assets/png/1f4aa-1f3fb.png?v=2.2.7!"
"441",":muscle_tone2:","flexed biceps tone 2","1f4aa-1f3fc","💪 🏼","","!https://cdn.jsdelivr.net/emojione/assets/png/1f4aa-1f3fc.png?v=2.2.7!"
"442",":muscle_tone3:","flexed biceps tone 3","1f4aa-1f3fd","💪 🏽","","!https://cdn.jsdelivr.net/emojione/assets/png/1f4aa-1f3fd.png?v=2.2.7!"
"443",":muscle_tone4:","flexed biceps tone 4","1f4aa-1f3fe","💪 🏾","","!https://cdn.jsdelivr.net/emojione/assets/png/1f4aa-1f3fe.png?v=2.2.7!"
"444",":muscle_tone5:","flexed biceps tone 5","1f4aa-1f3ff","💪 🏿","","!https://cdn.jsdelivr.net/emojione/assets/png/1f4aa-1f3ff.png?v=2.2.7!"
"445",":selfie:","selfie","1f933","🤳","","!https://cdn.jsdelivr.net/emojione/assets/png/1f933.png?v=2.2.7!"
"446",":selfie_tone1:","selfie tone 1","1f933-1f3fb","🤳 🏻","","!https://cdn.jsdelivr.net/emojione/assets/png/1f933-1f3fb.png?v=2.2.7!"
"447",":selfie_tone2:","selfie tone 2","1f933-1f3fc","🤳 🏼","","!https://cdn.jsdelivr.net/emojione/assets/png/1f933-1f3fc.png?v=2.2.7!"
"448",":selfie_tone3:","selfie tone 3","1f933-1f3fd","🤳 🏽","","!https://cdn.jsdelivr.net/emojione/assets/png/1f933-1f3fd.png?v=2.2.7!"
"449",":selfie_tone4:","selfie tone 4","1f933-1f3fe","🤳 🏾","","!https://cdn.jsdelivr.net/emojione/assets/png/1f933-1f3fe.png?v=2.2.7!"
"450",":selfie_tone5:","selfie tone 5","1f933-1f3ff","🤳 🏿","","!https://cdn.jsdelivr.net/emojione/assets/png/1f933-1f3ff.png?v=2.2.7!"
"451",":point_left:","white left pointing backhand index","1f448","👈","","!https://cdn.jsdelivr.net/emojione/assets/png/1f448.png?v=2.2.7!"
"452",":point_left_tone1:","white left pointing backhand index tone 1","1f448-1f3fb","👈 🏻","","!https://cdn.jsdelivr.net/emojione/assets/png/1f448-1f3fb.png?v=2.2.7!"
"453",":point_left_tone2:","white left pointing backhand index tone 2","1f448-1f3fc","👈 🏼","","!https://cdn.jsdelivr.net/emojione/assets/png/1f448-1f3fc.png?v=2.2.7!"
"454",":point_left_tone3:","white left pointing backhand index tone 3","1f448-1f3fd","👈 🏽","","!https://cdn.jsdelivr.net/emojione/assets/png/1f448-1f3fd.png?v=2.2.7!"
"455",":point_left_tone4:","white left pointing backhand index tone 4","1f448-1f3fe","👈 🏾","","!https://cdn.jsdelivr.net/emojione/assets/png/1f448-1f3fe.png?v=2.2.7!"
"456",":point_left_tone5:","white left pointing backhand index tone 5","1f448-1f3ff","👈 🏿","","!https://cdn.jsdelivr.net/emojione/assets/png/1f448-1f3ff.png?v=2.2.7!"
"457",":point_right:","white right pointing backhand index","1f449","👉","","!https://cdn.jsdelivr.net/emojione/assets/png/1f449.png?v=2.2.7!"
"458",":point_right_tone1:","white right pointing backhand index tone 1","1f449-1f3fb","👉 🏻","","!https://cdn.jsdelivr.net/emojione/assets/png/1f449-1f3fb.png?v=2.2.7!"
"459",":point_right_tone2:","white right pointing backhand index tone 2","1f449-1f3fc","👉 🏼","","!https://cdn.jsdelivr.net/emojione/assets/png/1f449-1f3fc.png?v=2.2.7!"
"460",":point_right_tone3:","white right pointing backhand index tone 3","1f449-1f3fd","👉 🏽","","!https://cdn.jsdelivr.net/emojione/assets/png/1f449-1f3fd.png?v=2.2.7!"
"461",":point_right_tone4:","white right pointing backhand index tone 4","1f449-1f3fe","👉 🏾","","!https://cdn.jsdelivr.net/emojione/assets/png/1f449-1f3fe.png?v=2.2.7!"
"462",":point_right_tone5:","white right pointing backhand index tone 5","1f449-1f3ff","👉 🏿","","!https://cdn.jsdelivr.net/emojione/assets/png/1f449-1f3ff.png?v=2.2.7!"
"463",":point_up:","white up pointing index","261d","☝","","!https://cdn.jsdelivr.net/emojione/assets/png/261d.png?v=2.2.7!"
"464",":point_up_tone1:","white up pointing index tone 1","261d-1f3fb","☝ 🏻","","!https://cdn.jsdelivr.net/emojione/assets/png/261d-1f3fb.png?v=2.2.7!"
"465",":point_up_tone2:","white up pointing index tone 2","261d-1f3fc","☝ 🏼","","!https://cdn.jsdelivr.net/emojione/assets/png/261d-1f3fc.png?v=2.2.7!"
"466",":point_up_tone3:","white up pointing index tone 3","261d-1f3fd","☝ 🏽","","!https://cdn.jsdelivr.net/emojione/assets/png/261d-1f3fd.png?v=2.2.7!"
"467",":point_up_tone4:","white up pointing index tone 4","261d-1f3fe","☝ 🏾","","!https://cdn.jsdelivr.net/emojione/assets/png/261d-1f3fe.png?v=2.2.7!"
"468",":point_up_tone5:","white up pointing index tone 5","261d-1f3ff","☝ 🏿","","!https://cdn.jsdelivr.net/emojione/assets/png/261d-1f3ff.png?v=2.2.7!"
"469",":point_up_2:","white up pointing backhand index","1f446","👆","","!https://cdn.jsdelivr.net/emojione/assets/png/1f446.png?v=2.2.7!"
"470",":point_up_2_tone1:","white up pointing backhand index tone 1","1f446-1f3fb","👆 🏻","","!https://cdn.jsdelivr.net/emojione/assets/png/1f446-1f3fb.png?v=2.2.7!"
"471",":point_up_2_tone2:","white up pointing backhand index tone 2","1f446-1f3fc","👆 🏼","","!https://cdn.jsdelivr.net/emojione/assets/png/1f446-1f3fc.png?v=2.2.7!"
"472",":point_up_2_tone3:","white up pointing backhand index tone 3","1f446-1f3fd","👆 🏽","","!https://cdn.jsdelivr.net/emojione/assets/png/1f446-1f3fd.png?v=2.2.7!"
"473",":point_up_2_tone4:","white up pointing backhand index tone 4","1f446-1f3fe","👆 🏾","","!https://cdn.jsdelivr.net/emojione/assets/png/1f446-1f3fe.png?v=2.2.7!"
"474",":point_up_2_tone5:","white up pointing backhand index tone 5","1f446-1f3ff","👆 🏿","","!https://cdn.jsdelivr.net/emojione/assets/png/1f446-1f3ff.png?v=2.2.7!"
"475",":middle_finger:","reversed hand with middle finger extended","1f595","🖕",":reversed_hand_with_middle_finger_extended:","!https://cdn.jsdelivr.net/emojione/assets/png/1f595.png?v=2.2.7!"
"476",":middle_finger_tone1:","reversed hand with middle finger extended tone 1","1f595-1f3fb","🖕 🏻",":reversed_hand_with_middle_finger_extended_tone1:","!https://cdn.jsdelivr.net/emojione/assets/png/1f595-1f3fb.png?v=2.2.7!"
"477",":middle_finger_tone2:","reversed hand with middle finger extended tone 2","1f595-1f3fc","🖕 🏼",":reversed_hand_with_middle_finger_extended_tone2:","!https://cdn.jsdelivr.net/emojione/assets/png/1f595-1f3fc.png?v=2.2.7!"
"478",":middle_finger_tone3:","reversed hand with middle finger extended tone 3","1f595-1f3fd","🖕 🏽",":reversed_hand_with_middle_finger_extended_tone3:","!https://cdn.jsdelivr.net/emojione/assets/png/1f595-1f3fd.png?v=2.2.7!"
"479",":middle_finger_tone4:","reversed hand with middle finger extended tone 4","1f595-1f3fe","🖕 🏾",":reversed_hand_with_middle_finger_extended_tone4:","!https://cdn.jsdelivr.net/emojione/assets/png/1f595-1f3fe.png?v=2.2.7!"
"480",":middle_finger_tone5:","reversed hand with middle finger extended tone 5","1f595-1f3ff","🖕 🏿",":reversed_hand_with_middle_finger_extended_tone5:","!https://cdn.jsdelivr.net/emojione/assets/png/1f595-1f3ff.png?v=2.2.7!"
"481",":point_down:","white down pointing backhand index","1f447","👇","","!https://cdn.jsdelivr.net/emojione/assets/png/1f447.png?v=2.2.7!"
"482",":point_down_tone1:","white down pointing backhand index tone 1","1f447-1f3fb","👇 🏻","","!https://cdn.jsdelivr.net/emojione/assets/png/1f447-1f3fb.png?v=2.2.7!"
"483",":point_down_tone2:","white down pointing backhand index tone 2","1f447-1f3fc","👇 🏼","","!https://cdn.jsdelivr.net/emojione/assets/png/1f447-1f3fc.png?v=2.2.7!"
"484",":point_down_tone3:","white down pointing backhand index tone 3","1f447-1f3fd","👇 🏽","","!https://cdn.jsdelivr.net/emojione/assets/png/1f447-1f3fd.png?v=2.2.7!"
"485",":point_down_tone4:","white down pointing backhand index tone 4","1f447-1f3fe","👇 🏾","","!https://cdn.jsdelivr.net/emojione/assets/png/1f447-1f3fe.png?v=2.2.7!"
"486",":point_down_tone5:","white down pointing backhand index tone 5","1f447-1f3ff","👇 🏿","","!https://cdn.jsdelivr.net/emojione/assets/png/1f447-1f3ff.png?v=2.2.7!"
"487",":v:","victory hand","270c","✌","","!https://cdn.jsdelivr.net/emojione/assets/png/270c.png?v=2.2.7!"
"488",":v_tone1:","victory hand tone 1","270c-1f3fb","✌ 🏻","","!https://cdn.jsdelivr.net/emojione/assets/png/270c-1f3fb.png?v=2.2.7!"
"489",":v_tone2:","victory hand tone 2","270c-1f3fc","✌ 🏼","","!https://cdn.jsdelivr.net/emojione/assets/png/270c-1f3fc.png?v=2.2.7!"
"490",":v_tone3:","victory hand tone 3","270c-1f3fd","✌ 🏽","","!https://cdn.jsdelivr.net/emojione/assets/png/270c-1f3fd.png?v=2.2.7!"
"491",":v_tone4:","victory hand tone 4","270c-1f3fe","✌ 🏾","","!https://cdn.jsdelivr.net/emojione/assets/png/270c-1f3fe.png?v=2.2.7!"
"492",":v_tone5:","victory hand tone 5","270c-1f3ff","✌ 🏿","","!https://cdn.jsdelivr.net/emojione/assets/png/270c-1f3ff.png?v=2.2.7!"
"493",":fingers_crossed:","hand with first and index finger crossed","1f91e","🤞",":hand_with_index_and_middle_finger_crossed:","!https://cdn.jsdelivr.net/emojione/assets/png/1f91e.png?v=2.2.7!"
"494",":fingers_crossed_tone1:","hand with index and middle fingers crossed tone 1","1f91e-1f3fb","🤞 🏻",":hand_with_index_and_middle_fingers_crossed_tone1:","!https://cdn.jsdelivr.net/emojione/assets/png/1f91e-1f3fb.png?v=2.2.7!"
"495",":fingers_crossed_tone2:","hand with index and middle fingers crossed tone 2","1f91e-1f3fc","🤞 🏼",":hand_with_index_and_middle_fingers_crossed_tone2:","!https://cdn.jsdelivr.net/emojione/assets/png/1f91e-1f3fc.png?v=2.2.7!"
"496",":fingers_crossed_tone3:","hand with index and middle fingers crossed tone 3","1f91e-1f3fd","🤞 🏽",":hand_with_index_and_middle_fingers_crossed_tone3:","!https://cdn.jsdelivr.net/emojione/assets/png/1f91e-1f3fd.png?v=2.2.7!"
"497",":fingers_crossed_tone4:","hand with index and middle fingers crossed tone 4","1f91e-1f3fe","🤞 🏾",":hand_with_index_and_middle_fingers_crossed_tone4:","!https://cdn.jsdelivr.net/emojione/assets/png/1f91e-1f3fe.png?v=2.2.7!"
"498",":fingers_crossed_tone5:","hand with index and middle fingers crossed tone 5","1f91e-1f3ff","🤞 🏿",":hand_with_index_and_middle_fingers_crossed_tone5:","!https://cdn.jsdelivr.net/emojione/assets/png/1f91e-1f3ff.png?v=2.2.7!"
"499",":vulcan:","raised hand with part between middle and ring fingers","1f596","🖖",":raised_hand_with_part_between_middle_and_ring_fingers:","!https://cdn.jsdelivr.net/emojione/assets/png/1f596.png?v=2.2.7!"
"500",":vulcan_tone1:","raised hand with part between middle and ring fingers tone 1","1f596-1f3fb","🖖 🏻",":raised_hand_with_part_between_middle_and_ring_fingers_tone1:","!https://cdn.jsdelivr.net/emojione/assets/png/1f596-1f3fb.png?v=2.2.7!"
"501",":vulcan_tone2:","raised hand with part between middle and ring fingers tone 2","1f596-1f3fc","🖖 🏼",":raised_hand_with_part_between_middle_and_ring_fingers_tone2:","!https://cdn.jsdelivr.net/emojione/assets/png/1f596-1f3fc.png?v=2.2.7!"
"502",":vulcan_tone3:","raised hand with part between middle and ring fingers tone 3","1f596-1f3fd","🖖 🏽",":raised_hand_with_part_between_middle_and_ring_fingers_tone3:","!https://cdn.jsdelivr.net/emojione/assets/png/1f596-1f3fd.png?v=2.2.7!"
"503",":vulcan_tone4:","raised hand with part between middle and ring fingers tone 4","1f596-1f3fe","🖖 🏾",":raised_hand_with_part_between_middle_and_ring_fingers_tone4:","!https://cdn.jsdelivr.net/emojione/assets/png/1f596-1f3fe.png?v=2.2.7!"
"504",":vulcan_tone5:","raised hand with part between middle and ring fingers tone 5","1f596-1f3ff","🖖 🏿",":raised_hand_with_part_between_middle_and_ring_fingers_tone5:","!https://cdn.jsdelivr.net/emojione/assets/png/1f596-1f3ff.png?v=2.2.7!"
"505",":metal:","sign of the horns","1f918","🤘",":sign_of_the_horns:","!https://cdn.jsdelivr.net/emojione/assets/png/1f918.png?v=2.2.7!"
"506",":metal_tone1:","sign of the horns tone 1","1f918-1f3fb","🤘 🏻",":sign_of_the_horns_tone1:","!https://cdn.jsdelivr.net/emojione/assets/png/1f918-1f3fb.png?v=2.2.7!"
"507",":metal_tone2:","sign of the horns tone 2","1f918-1f3fc","🤘 🏼",":sign_of_the_horns_tone2:","!https://cdn.jsdelivr.net/emojione/assets/png/1f918-1f3fc.png?v=2.2.7!"
"508",":metal_tone3:","sign of the horns tone 3","1f918-1f3fd","🤘 🏽",":sign_of_the_horns_tone3:","!https://cdn.jsdelivr.net/emojione/assets/png/1f918-1f3fd.png?v=2.2.7!"
"509",":metal_tone4:","sign of the horns tone 4","1f918-1f3fe","🤘 🏾",":sign_of_the_horns_tone4:","!https://cdn.jsdelivr.net/emojione/assets/png/1f918-1f3fe.png?v=2.2.7!"
"510",":metal_tone5:","sign of the horns tone 5","1f918-1f3ff","🤘 🏿",":sign_of_the_horns_tone5:","!https://cdn.jsdelivr.net/emojione/assets/png/1f918-1f3ff.png?v=2.2.7!"
"511",":call_me:","call me hand","1f919","🤙",":call_me_hand:","!https://cdn.jsdelivr.net/emojione/assets/png/1f919.png?v=2.2.7!"
"512",":call_me_tone1:","call me hand tone 1","1f919-1f3fb","🤙 🏻",":call_me_hand_tone1:","!https://cdn.jsdelivr.net/emojione/assets/png/1f919-1f3fb.png?v=2.2.7!"
"513",":call_me_tone2:","call me hand tone 2","1f919-1f3fc","🤙 🏼",":call_me_hand_tone2:","!https://cdn.jsdelivr.net/emojione/assets/png/1f919-1f3fc.png?v=2.2.7!"
"514",":call_me_tone3:","call me hand tone 3","1f919-1f3fd","🤙 🏽",":call_me_hand_tone3:","!https://cdn.jsdelivr.net/emojione/assets/png/1f919-1f3fd.png?v=2.2.7!"
"515",":call_me_tone4:","call me hand tone 4","1f919-1f3fe","🤙 🏾",":call_me_hand_tone4:","!https://cdn.jsdelivr.net/emojione/assets/png/1f919-1f3fe.png?v=2.2.7!"
"516",":call_me_tone5:","call me hand tone 5","1f919-1f3ff","🤙 🏿",":call_me_hand_tone5:","!https://cdn.jsdelivr.net/emojione/assets/png/1f919-1f3ff.png?v=2.2.7!"
"517",":hand_splayed:","raised hand with fingers splayed","1f590","🖐",":raised_hand_with_fingers_splayed:","!https://cdn.jsdelivr.net/emojione/assets/png/1f590.png?v=2.2.7!"
"518",":hand_splayed_tone1:","raised hand with fingers splayed tone 1","1f590-1f3fb","🖐 🏻",":raised_hand_with_fingers_splayed_tone1:","!https://cdn.jsdelivr.net/emojione/assets/png/1f590-1f3fb.png?v=2.2.7!"
"519",":hand_splayed_tone2:","raised hand with fingers splayed tone 2","1f590-1f3fc","🖐 🏼",":raised_hand_with_fingers_splayed_tone2:","!https://cdn.jsdelivr.net/emojione/assets/png/1f590-1f3fc.png?v=2.2.7!"
"520",":hand_splayed_tone3:","raised hand with fingers splayed tone 3","1f590-1f3fd","🖐 🏽",":raised_hand_with_fingers_splayed_tone3:","!https://cdn.jsdelivr.net/emojione/assets/png/1f590-1f3fd.png?v=2.2.7!"
"521",":hand_splayed_tone4:","raised hand with fingers splayed tone 4","1f590-1f3fe","🖐 🏾",":raised_hand_with_fingers_splayed_tone4:","!https://cdn.jsdelivr.net/emojione/assets/png/1f590-1f3fe.png?v=2.2.7!"
"522",":hand_splayed_tone5:","raised hand with fingers splayed tone 5","1f590-1f3ff","🖐 🏿",":raised_hand_with_fingers_splayed_tone5:","!https://cdn.jsdelivr.net/emojione/assets/png/1f590-1f3ff.png?v=2.2.7!"
"523",":raised_hand:","raised hand","270b","✋","","!https://cdn.jsdelivr.net/emojione/assets/png/270b.png?v=2.2.7!"
"524",":raised_hand_tone1:","raised hand tone 1","270b-1f3fb","✋ 🏻","","!https://cdn.jsdelivr.net/emojione/assets/png/270b-1f3fb.png?v=2.2.7!"
"525",":raised_hand_tone2:","raised hand tone 2","270b-1f3fc","✋ 🏼","","!https://cdn.jsdelivr.net/emojione/assets/png/270b-1f3fc.png?v=2.2.7!"
"526",":raised_hand_tone3:","raised hand tone 3","270b-1f3fd","✋ 🏽","","!https://cdn.jsdelivr.net/emojione/assets/png/270b-1f3fd.png?v=2.2.7!"
"527",":raised_hand_tone4:","raised hand tone 4","270b-1f3fe","✋ 🏾","","!https://cdn.jsdelivr.net/emojione/assets/png/270b-1f3fe.png?v=2.2.7!"
"528",":raised_hand_tone5:","raised hand tone 5","270b-1f3ff","✋ 🏿","","!https://cdn.jsdelivr.net/emojione/assets/png/270b-1f3ff.png?v=2.2.7!"
"529",":ok_hand:","ok hand sign","1f44c","👌","","!https://cdn.jsdelivr.net/emojione/assets/png/1f44c.png?v=2.2.7!"
"530",":ok_hand_tone1:","ok hand sign tone 1","1f44c-1f3fb","👌 🏻","","!https://cdn.jsdelivr.net/emojione/assets/png/1f44c-1f3fb.png?v=2.2.7!"
"531",":ok_hand_tone2:","ok hand sign tone 2","1f44c-1f3fc","👌 🏼","","!https://cdn.jsdelivr.net/emojione/assets/png/1f44c-1f3fc.png?v=2.2.7!"
"532",":ok_hand_tone3:","ok hand sign tone 3","1f44c-1f3fd","👌 🏽","","!https://cdn.jsdelivr.net/emojione/assets/png/1f44c-1f3fd.png?v=2.2.7!"
"533",":ok_hand_tone4:","ok hand sign tone 4","1f44c-1f3fe","👌 🏾","","!https://cdn.jsdelivr.net/emojione/assets/png/1f44c-1f3fe.png?v=2.2.7!"
"534",":ok_hand_tone5:","ok hand sign tone 5","1f44c-1f3ff","👌 🏿","","!https://cdn.jsdelivr.net/emojione/assets/png/1f44c-1f3ff.png?v=2.2.7!"
"535",":thumbsup:","thumbs up sign","1f44d","👍",":+1: :thumbup:","!https://cdn.jsdelivr.net/emojione/assets/png/1f44d.png?v=2.2.7!"
"536",":thumbsup_tone1:","thumbs up sign tone 1","1f44d-1f3fb","👍 🏻",":+1_tone1: :thumbup_tone1:","!https://cdn.jsdelivr.net/emojione/assets/png/1f44d-1f3fb.png?v=2.2.7!"
"537",":thumbsup_tone2:","thumbs up sign tone 2","1f44d-1f3fc","👍 🏼",":+1_tone2: :thumbup_tone2:","!https://cdn.jsdelivr.net/emojione/assets/png/1f44d-1f3fc.png?v=2.2.7!"
"538",":thumbsup_tone3:","thumbs up sign tone 3","1f44d-1f3fd","👍 🏽",":+1_tone3: :thumbup_tone3:","!https://cdn.jsdelivr.net/emojione/assets/png/1f44d-1f3fd.png?v=2.2.7!"
"539",":thumbsup_tone4:","thumbs up sign tone 4","1f44d-1f3fe","👍 🏾",":+1_tone4: :thumbup_tone4:","!https://cdn.jsdelivr.net/emojione/assets/png/1f44d-1f3fe.png?v=2.2.7!"
"540",":thumbsup_tone5:","thumbs up sign tone 5","1f44d-1f3ff","👍 🏿",":+1_tone5: :thumbup_tone5:","!https://cdn.jsdelivr.net/emojione/assets/png/1f44d-1f3ff.png?v=2.2.7!"
"541",":thumbsdown:","thumbs down sign","1f44e","👎",":-1: :thumbdown:","!https://cdn.jsdelivr.net/emojione/assets/png/1f44e.png?v=2.2.7!"
"542",":thumbsdown_tone1:","thumbs down sign tone 1","1f44e-1f3fb","👎 🏻",":-1_tone1: :thumbdown_tone1:","!https://cdn.jsdelivr.net/emojione/assets/png/1f44e-1f3fb.png?v=2.2.7!"
"543",":thumbsdown_tone2:","thumbs down sign tone 2","1f44e-1f3fc","👎 🏼",":-1_tone2: :thumbdown_tone2:","!https://cdn.jsdelivr.net/emojione/assets/png/1f44e-1f3fc.png?v=2.2.7!"
"544",":thumbsdown_tone3:","thumbs down sign tone 3","1f44e-1f3fd","👎 🏽",":-1_tone3: :thumbdown_tone3:","!https://cdn.jsdelivr.net/emojione/assets/png/1f44e-1f3fd.png?v=2.2.7!"
