"index","shortname","name","unicode","unicode_encoded","aliases","image"
"1661",":flag_ki:","kiribati","1f1f0-1f1ee","🇰 🇮",":ki:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1f0-1f1ee.png?v=2.2.7!"
"1662",":flag_km:","the comoros","1f1f0-1f1f2","🇰 🇲",":km:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1f0-1f1f2.png?v=2.2.7!"
"1663",":flag_kn:","saint kitts and nevis","1f1f0-1f1f3","🇰 🇳",":kn:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1f0-1f1f3.png?v=2.2.7!"
"1664",":flag_kp:","north korea","1f1f0-1f1f5","🇰 🇵",":kp:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1f0-1f1f5.png?v=2.2.7!"
"1665",":flag_kr:","korea","1f1f0-1f1f7","🇰 🇷",":kr:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1f0-1f1f7.png?v=2.2.7!"
"1666",":flag_kw:","kuwait","1f1f0-1f1fc","🇰 🇼",":kw:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1f0-1f1fc.png?v=2.2.7!"
"1667",":flag_ky:","cayman islands","1f1f0-1f1fe","🇰 🇾",":ky:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1f0-1f1fe.png?v=2.2.7!"
"1668",":flag_kz:","kazakhstan","1f1f0-1f1ff","🇰 🇿",":kz:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1f0-1f1ff.png?v=2.2.7!"
"1669",":flag_la:","laos","1f1f1-1f1e6","🇱 🇦",":la:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1f1-1f1e6.png?v=2.2.7!"
"1670",":flag_lb:","lebanon","1f1f1-1f1e7","🇱 🇧",":lb:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1f1-1f1e7.png?v=2.2.7!"
"1671",":flag_lc:","saint lucia","1f1f1-1f1e8","🇱 🇨",":lc:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1f1-1f1e8.png?v=2.2.7!"
"1672",":flag_li:","liechtenstein","1f1f1-1f1ee","🇱 🇮",":li:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1f1-1f1ee.png?v=2.2.7!"
"1673",":flag_lk:","sri lanka","1f1f1-1f1f0","🇱 🇰",":lk:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1f1-1f1f0.png?v=2.2.7!"
"1674",":flag_lr:","liberia","1f1f1-1f1f7","🇱 🇷",":lr:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1f1-1f1f7.png?v=2.2.7!"
"1675",":flag_ls:","lesotho","1f1f1-1f1f8","🇱 🇸",":ls:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1f1-1f1f8.png?v=2.2.7!"
"1676",":flag_lt:","lithuania","1f1f1-1f1f9","🇱 🇹",":lt:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1f1-1f1f9.png?v=2.2.7!"
"1677",":flag_lu:","luxembourg","1f1f1-1f1fa","🇱 🇺",":lu:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1f1-1f1fa.png?v=2.2.7!"
"1678",":flag_lv:","latvia","1f1f1-1f1fb","🇱 🇻",":lv:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1f1-1f1fb.png?v=2.2.7!"
"1679",":flag_ly:","libya","1f1f1-1f1fe","🇱 🇾",":ly:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1f1-1f1fe.png?v=2.2.7!"
"1680",":flag_ma:","morocco","1f1f2-1f1e6","🇲 🇦",":ma:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1f2-1f1e6.png?v=2.2.7!"
"1681",":flag_mc:","monaco","1f1f2-1f1e8","🇲 🇨",":mc:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1f2-1f1e8.png?v=2.2.7!"
"1682",":flag_md:","moldova","1f1f2-1f1e9","🇲 🇩",":md:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1f2-1f1e9.png?v=2.2.7!"
"1683",":flag_me:","montenegro","1f1f2-1f1ea","🇲 🇪",":me:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1f2-1f1ea.png?v=2.2.7!"
"1684",":flag_mf:","saint martin","1f1f2-1f1eb","🇲 🇫",":mf:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1f2-1f1eb.png?v=2.2.7!"
"1685",":flag_mg:","madagascar","1f1f2-1f1ec","🇲 🇬",":mg:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1f2-1f1ec.png?v=2.2.7!"
"1686",":flag_mh:","the marshall islands","1f1f2-1f1ed","🇲 🇭",":mh:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1f2-1f1ed.png?v=2.2.7!"
"1687",":flag_mk:","macedonia","1f1f2-1f1f0","🇲 🇰",":mk:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1f2-1f1f0.png?v=2.2.7!"
"1688",":flag_ml:","mali","1f1f2-1f1f1","🇲 🇱",":ml:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1f2-1f1f1.png?v=2.2.7!"
"1689",":flag_mm:","myanmar","1f1f2-1f1f2","🇲 🇲",":mm:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1f2-1f1f2.png?v=2.2.7!"
"1690",":flag_mn:","mongolia","1f1f2-1f1f3","🇲 🇳",":mn:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1f2-1f1f3.png?v=2.2.7!"
"1691",":flag_mo:","macau","1f1f2-1f1f4","🇲 🇴",":mo:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1f2-1f1f4.png?v=2.2.7!"
"1692",":flag_mp:","northern mariana islands","1f1f2-1f1f5","🇲 🇵",":mp:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1f2-1f1f5.png?v=2.2.7!"
"1693",":flag_mq:","martinique","1f1f2-1f1f6","🇲 🇶",":mq:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1f2-1f1f6.png?v=2.2.7!"
"1694",":flag_mr:","mauritania","1f1f2-1f1f7","🇲 🇷",":mr:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1f2-1f1f7.png?v=2.2.7!"
"1695",":flag_ms:","montserrat","1f1f2-1f1f8","🇲 🇸",":ms:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1f2-1f1f8.png?v=2.2.7!"
"1696",":flag_mt:","malta","1f1f2-1f1f9","🇲 🇹",":mt:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1f2-1f1f9.png?v=2.2.7!"
"1697",":flag_mu:","mauritius","1f1f2-1f1fa","🇲 🇺",":mu:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1f2-1f1fa.png?v=2.2.7!"
"1698",":flag_mv:","maldives","1f1f2-1f1fb","🇲 🇻",":mv:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1f2-1f1fb.png?v=2.2.7!"
"1699",":flag_mw:","malawi","1f1f2-1f1fc","🇲 🇼",":mw:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1f2-1f1fc.png?v=2.2.7!"
"1700",":flag_mx:","mexico","1f1f2-1f1fd","🇲 🇽",":mx:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1f2-1f1fd.png?v=2.2.7!"
"1701",":flag_my:","malaysia","1f1f2-1f1fe","🇲 🇾",":my:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1f2-1f1fe.png?v=2.2.7!"
"1702",":flag_mz:","mozambique","1f1f2-1f1ff","🇲 🇿",":mz:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1f2-1f1ff.png?v=2.2.7!"
"1703",":flag_na:","namibia","1f1f3-1f1e6","🇳 🇦",":na:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1f3-1f1e6.png?v=2.2.7!"
"1704",":flag_nc:","new caledonia","1f1f3-1f1e8","🇳 🇨",":nc:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1f3-1f1e8.png?v=2.2.7!"
"1705",":flag_ne:","niger","1f1f3-1f1ea","🇳 🇪",":ne:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1f3-1f1ea.png?v=2.2.7!"
"1706",":flag_nf:","norfolk island","1f1f3-1f1eb","🇳 🇫",":nf:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1f3-1f1eb.png?v=2.2.7!"
"1707",":flag_ng:","nigeria","1f1f3-1f1ec","🇳 🇬",":nigeria:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1f3-1f1ec.png?v=2.2.7!"
"1708",":flag_ni:","nicaragua","1f1f3-1f1ee","🇳 🇮",":ni:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1f3-1f1ee.png?v=2.2.7!"
"1709",":flag_nl:","the netherlands","1f1f3-1f1f1","🇳 🇱",":nl:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1f3-1f1f1.png?v=2.2.7!"
"1710",":flag_no:","norway","1f1f3-1f1f4","🇳 🇴",":no:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1f3-1f1f4.png?v=2.2.7!"
